eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
1000.0,696.70724548,508,0.007834374,0.107910156,8.03073,-0.004182962,19.327854,0.12776046991348267,1530,3133440,6128.606839082,3133440
1000.0,699.1118811599999,512,0.009735579,0.13549805,8.014421,0.00013695456,19.230919,0.07184016704559326,1540,3153920,6168.480695175,3153920
1000.0,709.2014994699999,508,0.010665104,0.15930176,7.9748664,-0.0014095157,19.050285,0.06591528654098511,1550,3174400,6208.311825336999,3174400
1000.0,715.7199450399999,509,0.008386151,0.115722656,7.935139,0.0012416152,20.98103,0.06669259071350098,1560,3194880,6248.144692178999,3194880
1000.0,720.3518731999998,513,0.011063777,0.15527344,7.9171076,6.761175e-05,21.3326,0.10220199823379517,1570,3215360,6288.151306906,3215360
1000.0,731.3624597800001,510,0.015144712,0.21350098,7.890181,-0.0009214355,26.22215,0.2853511571884155,1580,3235840,6328.166609141001,3235840
1000.0,739.9569292699998,515,0.009937389,0.14489746,7.8504877,-0.00048235478,21.751808,0.06805038452148438,1590,3256320,6368.009842670001,3256320
1000.0,743.9217037000001,509,0.01301971,0.18725586,7.864743,-0.0015080526,22.407347,0.10440868139266968,1600,3276800,6408.0324015490005,3276800
1000.0,745.4511699699999,507,0.023182128,0.28076172,7.8236046,-0.002813941,20.379921,0.08395946025848389,1610,3297280,6447.853134568,3297280
1000.0,751.64524611,514,0.009502666,0.14294434,7.810715,-9.3906594e-05,20.421776,0.07171732187271118,1620,3317760,6487.612169757,3317760
1000.0,754.2502669799999,516,0.011644606,0.17871094,7.7941117,-0.0021694752,22.852633,0.06739652156829834,1630,3338240,6527.224776032001,3338240
1000.0,753.0927060100003,519,0.024885645,0.30493164,7.765482,-0.0027283612,24.189396,0.11495357751846313,1640,3358720,6566.954296505999,3358720
1000.0,758.36812921,518,0.014110354,0.20361328,7.7466154,-0.0020506526,22.407278,0.08018457889556885,1650,3379200,6606.801138962999,3379200
1000.0,765.95892555,512,0.016092988,0.22338867,7.7282906,0.0012510683,21.804459,0.05264836549758911,1660,3399680,6646.573155116001,3399680
1000.0,769.76420829,514,0.020844216,0.26843262,7.694362,-0.00054875144,23.627293,0.11123061180114746,1670,3420160,6686.566048066999,3420160
1000.0,768.6098390899999,510,0.013477998,0.19030762,7.6572814,-0.0006683668,23.026112,0.04140549898147583,1680,3440640,6726.4455037669995,3440640
1000.0,771.9927978299999,507,0.017724287,0.23706055,7.6228814,-0.0043996396,21.374107,0.06182408332824707,1690,3461120,6766.456097230999,3461120
1000.0,776.6945771600002,512,0.018428395,0.24975586,7.603531,-0.0002719512,23.802755,0.11159473657608032,1700,3481600,6806.294315465,3481600
1000.0,778.02232592,504,0.011502469,0.16577148,7.5884743,-0.0026637444,23.442242,0.08359330892562866,1710,3502080,6846.165421117999,3502080
1000.0,784.0296049999998,511,0.0080597075,0.1048584,7.591491,-0.00036928593,23.333527,0.06452006101608276,1720,3522560,6886.011695613999,3522560
1000.0,793.60578031,514,0.010498047,0.14501953,7.5789547,-0.0031861602,31.059906,0.04365760087966919,1730,3543040,6925.868588863999,3543040
1000.0,803.0578413300001,515,0.011307163,0.17468262,7.5746727,-0.0074213883,26.30403,0.21820563077926636,1740,3563520,6965.475129687,3563520
1000.0,805.3568506099999,518,0.020074403,0.28100586,7.553034,0.009494955,37.059864,0.06338298320770264,1750,3584000,7005.348604919,3584000
1000.0,810.3081709899999,516,0.023777438,0.26428223,7.5230355,-0.0007603311,26.022303,0.05009990930557251,1760,3604480,7045.22156697,3604480
1000.0,813.61821345,512,0.021452507,0.2581787,7.5331225,0.0004914118,25.892036,0.06595981121063232,1770,3624960,7084.850241331,3624960
1000.0,816.6987304100002,512,0.01981393,0.26879883,7.5444436,0.000991049,26.303976,0.03201407194137573,1780,3645440,7124.760560941,3645440
1000.0,809.1862840800001,505,0.021540739,0.2947998,7.5283074,-0.0012558032,26.675732,0.05663585662841797,1790,3665920,7164.815652902,3665920
1000.0,816.2100692,511,0.024610495,0.2709961,7.5308423,0.0052300934,25.74704,0.04383021593093872,1800,3686400,7204.595814111,3686400
1000.0,817.58008016,510,0.013367061,0.18786621,7.5048976,-0.0009611641,26.662148,0.21736258268356323,1810,3706880,7244.595084745999,3706880
