# {"t_start": 1587161644.6280663, "env_id": "HalfCheetahBulletEnv-v0"} 
r,l,t
657.867246,1000,5693.798822
629.668667,1000,5695.653188
647.268118,1000,5697.688203
634.162456,1000,5699.505278
645.696847,1000,5701.547406
659.29939,1000,5703.328446
625.507025,1000,5705.376895
621.321019,1000,5707.190821
610.180876,1000,5709.288902
619.341253,1000,5711.13096
630.049735,1000,5713.229166
636.338963,1000,5715.091716
636.575165,1000,5717.12511
647.430207,1000,5718.936641
635.792698,1000,5720.950769
654.626174,1000,5722.789455
597.25358,1000,5724.841898
661.849892,1000,5726.688452
631.011523,1000,5728.748444
631.199601,1000,5730.582939
646.537617,1000,5732.663953
667.906789,1000,5734.476075
636.104384,1000,5736.512607
632.847011,1000,5738.347937
657.786999,1000,5740.380282
565.93569,1000,5742.21231
619.399416,1000,5744.248015
606.813295,1000,5746.040859
642.821206,1000,5748.066324
625.55779,1000,5749.924148
626.886185,1000,5751.963486
644.563285,1000,5753.818166
652.11827,1000,5755.885086
678.017542,1000,5757.733927
681.996568,1000,5759.793782
658.062999,1000,5761.635836
664.086857,1000,5763.457191
682.754153,1000,5765.460496
639.795826,1000,5767.302564
649.132442,1000,5769.444155
652.883998,1000,5771.270649
659.593651,1000,5773.405878
667.95111,1000,5775.286331
656.938891,1000,5777.330697
668.570568,1000,5779.175042
648.933524,1000,5781.236084
692.935012,1000,5783.084568
670.689663,1000,5785.147652
664.946233,1000,5786.986193
648.656411,1000,5789.034006
683.051228,1000,5790.843091
665.11194,1000,5792.85261
652.333685,1000,5794.667358
683.708046,1000,5796.714604
682.809398,1000,5798.52086
684.030485,1000,5800.521332
672.206701,1000,5802.375827
679.725361,1000,5804.403031
649.241454,1000,5806.237745
677.0359,1000,5808.306179
679.427373,1000,5810.139313
660.364271,1000,5812.242777
658.79022,1000,5814.081584
684.709429,1000,5816.149056
671.839811,1000,5817.986402
686.785214,1000,5819.991971
712.367143,1000,5821.823126
695.763862,1000,5823.826142
705.158678,1000,5825.637771
670.137522,1000,5827.69131
696.774533,1000,5829.619416
709.364598,1000,5831.657897
678.614234,1000,5833.558398
702.28155,1000,5835.592325
689.310204,1000,5837.416855
656.884366,1000,5839.485615
684.488671,1000,5841.314651
673.162525,1000,5843.316388
677.919503,1000,5845.192675
671.929273,1000,5846.999301
689.067378,1000,5849.041536
707.306181,1000,5850.878106
654.448965,1000,5852.958554
690.187992,1000,5854.784149
702.220971,1000,5856.837512
726.028963,1000,5858.652559
674.891284,1000,5860.720976
712.904896,1000,5862.548125
662.497986,1000,5864.571484
699.041713,1000,5866.391089
687.004769,1000,5868.428864
685.403126,1000,5870.273666
676.508077,1000,5872.337377
644.113364,1000,5874.193494
682.047667,1000,5876.274888
703.124165,1000,5878.125092
701.583564,1000,5880.136034
685.560463,1000,5881.989936
700.98582,1000,5884.028365
698.097984,1000,5885.809845
666.314827,1000,5887.843507
705.081024,1000,5889.756566
699.683418,1000,5891.821098
692.183843,1000,5893.739303
700.993836,1000,5895.729553
687.802615,1000,5897.560297
688.899128,1000,5899.625236
670.185681,1000,5901.452693
696.32046,1000,5903.500214
688.021389,1000,5905.356743
681.168177,1000,5907.382107
652.597828,1000,5909.233808
698.118494,1000,5911.260813
660.965134,1000,5913.076682
692.680733,1000,5915.126375
699.482191,1000,5917.018097
690.106575,1000,5919.049931
646.510415,1000,5920.923703
639.834695,1000,5922.934316
700.718074,1000,5924.788463
690.805809,1000,5926.808167
690.600023,1000,5928.660047
666.194299,1000,5930.53152
675.155669,1000,5932.621241
677.968433,1000,5934.453106
718.912805,1000,5936.563235
676.16352,1000,5938.383177
707.292658,1000,5940.392698
668.310469,1000,5942.249547
690.955697,1000,5944.279534
666.665049,1000,5946.124907
685.646936,1000,5948.154186
663.416761,1000,5950.038527
710.14794,1000,5952.097462
702.971842,1000,5953.999676
687.838102,1000,5956.018574
671.698915,1000,5957.875739
657.151905,1000,5959.941911
698.7755,1000,5961.760922
677.031782,1000,5963.80902
701.57031,1000,5965.653156
695.563457,1000,5967.747388
693.388956,1000,5969.619754
694.931691,1000,5971.665698
700.482095,1000,5973.485376
681.950905,1000,5975.514044
703.848283,1000,5977.380964
705.764564,1000,5979.421611
664.831349,1000,5981.274238
687.258094,1000,5983.291305
683.36553,1000,5985.12059
687.520184,1000,5987.172725
664.181585,1000,5988.981719
680.731521,1000,5991.033931
709.326766,1000,5992.869512
667.502201,1000,5994.906367
677.975654,1000,5996.835554
695.557114,1000,5998.814528
706.026103,1000,6000.667127
672.000218,1000,6002.652789
691.110535,1000,6004.414695
708.255107,1000,6006.465579
691.489947,1000,6008.328136
661.171689,1000,6010.165284
645.833663,1000,6012.315731
632.965341,1000,6014.210324
686.239026,1000,6016.273896
703.371796,1000,6018.077197
713.52226,1000,6020.119346
683.000464,1000,6021.968976
683.97938,1000,6023.980597
708.656348,1000,6025.801555
